business_id,billed amount,log_billed_amount,product,product_idx,size,size_idx,region,region_idx,industry,industry_idx
b07354,6027.8383942,8.7041437502,SEM,3,size_less_50,1,west,3,plumbing_heating_and_airconditioning_contractors,15
b07355,1007.76565263,6.91549093413,Email Marketing,1,size_less_50,1,northeast,0,offices_of_dentists,5
b07356,2469.46879229,7.81175834264,Social,2,size_less_50,1,northeast,0,offices_of_dentists,5
b07357,4599.00285417,8.43359478815,Email Marketing,1,size_less_50,1,south,1,other_ind,0
b07358,1547.72492788,7.34454134319,DisplayOnTarget,0,size_50_100,3,south,1,other_ind,0
b07359,442.718297671,6.09293367087,DisplayOnTarget,0,size_less_50,1,northeast,0,other_ind,0
b07360,977.941278263,6.88544962556,DisplayOnTarget,0,size_less_50,1,northeast,0,other_ind,0
b07361,2325.63417564,7.75174804454,DisplayOnTarget,0,unavailable,2,south,1,elementary_and_secondary_schools,6
b07362,568.36359995,6.34276135467,DisplayOnTarget,0,unavailable,2,northeast,0,other_ind,0
b07363,1203.09675927,7.09265414439,DisplayOnTarget,0,unavailable,2,northeast,0,other_ind,0
b07364,564.742198389,6.33636934098,DisplayOnTarget,0,size_less_50,1,south,1,offices_of_physicians_except_mental_health_specialists,1
b07365,1029.12097025,6.93646028991,DisplayOnTarget,0,size_less_50,1,south,1,other_ind,0
b07366,1866.76577074,7.53196267812,DisplayOnTarget,0,unavailable,2,northeast,0,other_ind,0
b07367,1130.56432547,7.03047219011,DisplayOnTarget,0,size_less_50,1,northeast,0,other_ind,0
b07368,723.391153799,6.5839500908,DisplayOnTarget,0,unavailable,2,west,3,other_ind,0
b07369,886.188788701,6.7869300077,DisplayOnTarget,0,size_less_50,1,northeast,0,other_ind,0
b07370,1053.93814627,6.96028904263,DisplayOnTarget,0,size_less_50,1,northeast,0,other_ind,0
b07371,24071.8866433,10.0887999092,DisplayOnTarget,0,size_less_50,1,northeast,0,other_ind,0
b07372,2014.16483528,7.60795991466,DisplayOnTarget,0,size_less_50,1,northeast,0,other_ind,0
b07373,5608.87743249,8.63210587733,DisplayOnTarget,0,size_less_50,1,midwest,2,offices_of_real_estate_agents_and_brokers,10
b07374,7661.51862165,8.94396549656,SEM,3,size_less_50,1,northeast,0,offices_of_real_estate_agents_and_brokers,10
b07375,2447.63200662,7.80287630824,Social,2,size_less_50,1,northeast,0,offices_of_real_estate_agents_and_brokers,10
b07376,1581.95806117,7.36641863797,Social,2,size_g_100,0,south,1,other_ind,0
b07377,1116.66515538,7.01810198276,Email Marketing,1,size_less_50,1,midwest,2,other_ind,0
b07378,840.830104267,6.73438962324,Email Marketing,1,size_less_50,1,south,1,new_car_dealers,4
b07379,723.599107011,6.58423751943,DisplayOnTarget,0,size_less_50,1,northeast,0,other_ind,0
b07380,2374.88247583,7.77270323138,DisplayOnTarget,0,size_less_50,1,south,1,other_ind,0
b07381,2161.57305808,7.67859150325,SEO,4,unavailable,2,west,3,offices_of_lawyers,7
b07382,438.41114508,6.08315715748,DisplayOnTarget,0,size_less_50,1,west,3,other_ind,0
b07383,685.294816859,6.52984913525,SEO,4,size_less_50,1,west,3,other_ind,0
b07384,3518.27465522,8.16572599366,SEO,4,size_less_50,1,midwest,2,other_ind,0
b07385,757.449344731,6.6299566635,DisplayOnTarget,0,size_less_50,1,south,1,other_ind,0
