business_id,billed amount,log_billed_amount,product,product_idx,size,size_idx,region,region_idx,industry,industry_idx
b08564,1345.49568335,7.204517761950001,Display,0,size_g_100,0,northeast,0,other_ind,0
b04715,6134.16899622,8.72162989503,Social Ads,2,size_less_50,1,west,3,general_automotive_repair,13
b04674,1588.55907072,7.3705826395,Social Ads,2,unavailable,2,northeast,0,other_ind,0
b06245,560.4447437000001,6.328730653709999,Display,0,size_less_50,1,midwest,2,other_ind,0
b00613,1450.48516818,7.279653378189999,Display,0,unavailable,2,northeast,0,other_ind,0
b04031,3041.77486136,8.02019646001,Display,0,unavailable,2,south,1,other_ind,0
b06270,1774.79067803,7.48143776709,Email,1,size_less_50,1,northeast,0,other_ind,0
b12920,25822.3423604,10.1589953791,SEM,3,size_less_50,1,northeast,0,other_ind,0
b08345,698.39756726,6.54878852121,Display,0,unavailable,2,midwest,2,other_ind,0
b00527,496.788762319,6.20816491023,Display,0,size_less_50,1,northeast,0,offices_of_physicians_except_mental_health_specialists,1
b09510,1141.92476069,7.040470504239999,Display,0,unavailable,2,northeast,0,other_ind,0
b06136,798.455549708,6.68267929886,Email,1,size_50_100,3,midwest,2,other_ind,0
b08488,1644.67784666,7.40529980613,Email,1,unavailable,2,south,1,other_ind,0
b10762,1500.72149835,7.313701270349998,Social Ads,2,unavailable,2,south,1,other_ind,0
b02714,1192.55777067,7.083855666589999,Email,1,size_less_50,1,midwest,2,other_ind,0
b11614,945.3289433560001,6.85153295513,Email,1,unavailable,2,northeast,0,other_ind,0
b06713,2481.1935954,7.81649501185,Display,0,size_50_100,3,south,1,elementary_and_secondary_schools,6
b12752,2943.91394064,7.9874952473,Display,0,size_less_50,1,south,1,offices_of_lawyers,7
b10066,2499.78998737,7.82396200228,Display,0,unavailable,2,northeast,0,other_ind,0
b10629,924.474801814,6.82922579444,Email,1,size_50_100,3,northeast,0,other_ind,0
b04978,1472.54829836,7.29474971523,Social Ads,2,size_less_50,1,northeast,0,other_ind,0
b08521,475.11811338900003,6.16356343289,Display,0,size_less_50,1,northeast,0,other_ind,0
b12362,4438.61859459,8.39809847967,Display,0,size_less_50,1,south,1,other_ind,0
b07771,877.347200748,6.77690280998,Email,1,size_less_50,1,northeast,0,other_ind,0
b02841,6114.52216074,8.71842190292,Display,0,unavailable,2,midwest,2,other_ind,0
b02936,1390.154181,7.237169941549999,Display,0,unavailable,2,northeast,0,other_ind,0
b08917,2232.44697949,7.710853563080001,SEM,3,unavailable,2,south,1,other_ind,0
b12407,969.115184624,6.876383474410001,Display,0,size_less_50,1,west,3,offices_of_physicians_except_mental_health_specialists,1
b10723,3215.61473322,8.075773826239999,SEM,3,size_less_50,1,northeast,0,new_car_dealers,4
b04229,1872.94808473,7.535268984349999,Email,1,unavailable,2,midwest,2,other_ind,0
b01035,8890.28279747,9.09271413874,Display,0,unavailable,2,northeast,0,other_ind,0
b03641,564.1539633169999,6.33532719885,Display,0,unavailable,2,south,1,other_ind,0
b04460,927.9001820980001,6.83292416461,Display,0,unavailable,2,midwest,2,other_ind,0
b01256,690.657769423,6.53764443252,Display,0,size_less_50,1,south,1,plumbing_heating_and_airconditioning_contractors,15
b06145,866.3121461339999,6.764245289500001,Email,1,unavailable,2,west,3,other_ind,0
b09717,1498.26679743,7.312064250639999,Social Ads,2,size_less_50,1,midwest,2,other_ind,0
b07715,2436.02692168,7.79812368036,Email,1,size_less_50,1,west,3,offices_of_dentists,5
b02952,1113.64800593,7.01539639743,Display,0,unavailable,2,south,1,other_ind,0
b01250,564.265208959,6.335524369630001,Display,0,size_less_50,1,south,1,new_multifamily_housing_construction_except_operative_builders,19
b01006,1998.94815461,7.6003763985,Display,0,size_less_50,1,south,1,other_ind,0
b04822,1505.63812642,7.316972091589999,Display,0,size_50_100,3,northeast,0,other_ind,0
b02214,1338.85322026,7.199568720760001,Display,0,size_50_100,3,south,1,new_car_dealers,4
b02339,10842.6896685,9.29124636862,SEM,3,size_50_100,3,midwest,2,plumbing_heating_and_airconditioning_contractors,15
b00568,2026.51410125,7.61407240447,SEM,3,unavailable,2,west,3,insurance_agencies_and_brokerages,12
b08999,305.55695562799997,5.722136195369999,Display,0,size_less_50,1,south,1,other_ind,0
b04779,599.6006996919999,6.39626393316,Display,0,unavailable,2,midwest,2,other_ind,0
